Username,Display Name,Birth Date,Description,Location,Followers,Following,Verified,Number of Posts,Date Joined
@TurkiShalhoub,تركي الشلهوب,N/A,كاتب صحفي، ضد الفساد ومع العدل والمساواة وحرية التعبير.. حساب ساخر|Parody account.,المملكة العربية السعودية,1.4M,797,Yes,42.9K,Joined July 2015
@AEzenyili,Antonia Ezenyili ,N/A,"Daily Posts|Self Opinions|Human Behaviours|Free Thinking|My Thoughts|SapioSexual|

Gemini  |
@ParallelFacts
|#SupplyChain|
#Catholic|
@ManUtd
 | $TSLA","Coventry, England",15.4K,"7,826",No,22K,Joined July 2014
@Lesufi,Panyaza Lesufi,N/A,"Premier: Gauteng Provincial Government NB: Kindly take note that if you tag me, that doesn't constitute an official notification of government of Gauteng",Tembisa,491.6K,"2,323",Yes,36.6K,Joined June 2010
@RitchieTorres,Ritchie Torres,N/A,"Congressman (#NY15). Born & bred in the Bronx. Grew up in poverty. Product of public housing. http://Torres.nyc. Gov account: 
@RepRitchie","Bronx, NY",173.6K,"9,225",Yes,10.1K,Joined March 2013
@MariMiho_,miho ✦,N/A,17 ✦ ocs & multifandom ✦ pfp & respost ok only with credit! ✦ :marimiho06@gmail.com,Brazil,20.3K,"1,387",No,"9,765",Joined July 2019
@MuhammadSmiry,Muhammad Smiry ,N/A,"A Palestinian, born, raised and based in Gaza. I tweet about my life under the occupation! #Gaza",Palestine,751.5K,113.7K,Yes,53.7K,Joined December 2010
@NoemaMag,Noema Magazine,N/A,"Exploring the transformations sweeping our world. Published by 
@berggruenInst
. Pitch us: edit@noemamag.com",N/A,158.1K,"4,169",Yes,97.5K,Joined March 2009
@BigBrotherWatch,Big Brother Watch,N/A,"Defending civil liberties and protecting privacy.

Fearless campaigning. Real change. Delivered to you. 
Subscribe | http://bigbrotherwatch.org.uk/subscribe/",United Kingdom,117K,"3,251",Yes,14.6K,Joined September 2009
@Angelina_BTS_V,Angelina ,N/A,"You can't stop me lovin' myself 
GA host, Tae bias   married to OT7",N/A,10.6K,934,No,12.4K,Joined October 2021
@k_moo_star,HamstarMoon,N/A,Hamstar Focus account  Please don’t crop my logo / name if reposting ,N/A,"1,508",118,Yes,579,Joined March 2022
@PSLifeStyle,PlayStation LifeStyle,N/A,"We love PlayStation, so we report on everything to do with it.",N/A,95.5K,713,No,103.6K,Joined January 2009
@PSLifeStyle,PlayStation LifeStyle,N/A,"We love PlayStation, so we report on everything to do with it.",N/A,95.5K,713,No,103.6K,Joined January 2009
@RossThomson_Abz,Ross Thomson,N/A,"Former Member of 
@UKParliament
 for Aberdeen South | Former Member of the 
@ScotParl
 |  Dog Dad |  Views my own.",Aberdeen,12.9K,"1,008",No,15.4K,Joined March 2012
